id,entity,lat,lon,display_name,source,confidence
7debd1a7c754,Tyskland,58.873764,13.2484175,"Tyskland, Säffle kommun, Värmlands län, Sverige",https://www.flashback.org/t3725204p2,0.48
884e63d2c099,Parken,56.5124346,13.3781929,"Parken, Laholms kommun, Hallands län, 312 51, Sverige",https://www.flashback.org/t3725204,0.64
be5d3db0ee40,Dynamit-,57.8603354,12.2826444,"Austin Sverige AB, Norra Aggetorp, Stora Lundby distrikt, Lerums kommun, Västra Götalands län, Sverige",https://www.flashback.org/t3725204,1.0
f9d020697ca4,Företaget,55.7146435,13.1586918,"Företaget, Pilsåker, Väster, Lund, Lunds kommun, Skåne län, 227 61, Sverige",https://www.flashback.org/t3725204,1.0
cf34a2276028,Alfred Nobel,59.3323919,18.1003242,"Alfred Nobel, Nobelgatan, Östermalm, Norra innerstadens stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 115 27, Sverige",https://www.flashback.org/t3725204,1.0
22a9c8692c37,Nobels,59.3266137,14.5237995,"Alfred Nobels torg, Karls-Åby, Karlskoga, Karlskoga kommun, Örebro län, Sverige",https://www.flashback.org/t3725204,1.0
d1c5cc45c800,Europa,59.3254265,18.0730097,"Europa, Gamla stan, Södermalms stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 111 31, Sverige",https://www.flashback.org/t3725204,1.0
90af158f6dd4,Rostock,57.9083333,12.0085778,"Rostock, Diseröd, Kungälvs kommun, Västra Götalands län, 442 49, Sverige",https://www.flashback.org/t3725204p2,0.76
6211d05c4c4b,V-vapen,58.8922187,14.9200368,"Vapenvägen, Lustenrust, Askersund, Askersunds kommun, Örebro län, 696 33, Sverige",https://www.flashback.org/t3725204p2,0.76
cfb6308e4601,Museum,43.2144202,-77.936377,"Emily L. Knapp Museum, 49, State Street, Village of Brockport, Town of Sweden, Monroe County, New York, 14420, United States",https://www.flashback.org/t3725204p2,0.76
e6a16bc5cc9c,Idag,60.39474,15.120059,"Vad saknas i södra Norrlands skogar idag?, Pensionärsleden, Borlänge kommun, Dalarnas län, Sverige",https://www.flashback.org/t3725204p2,0.76
d7ed8d50dca6,Frankrike,59.8787303,17.8097767,"Frankrike, Halmby, Uppsala, Uppsala kommun, Uppsala län, 741 52, Sverige",https://www.flashback.org/t3725204p2,0.48
79728482494c,Taket,58.6816864,16.1042671,"Stora taket, Kvillinge församling, Norrköping, Norrköpings kommun, Östergötlands län, 605 99, Sverige",https://www.flashback.org/t3725204p2,0.48
033e275f2cc7,Största,61.3757116,15.8378909,"Världens största pinnstol, Karlsvägen, Edsbyn, Ovanåkers kommun, Gävleborgs län, 828 34, Sverige",https://www.flashback.org/t3725204p2,0.48
6887f350c001,Bremen,59.3497333,18.1013511,"Bremen, Gärdeshöjden, Ladugårdsgärdet, Norra innerstadens stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 115 40, Sverige",https://www.flashback.org/t3725204p2,0.48
0efd1db0ba21,Sedan,59.9196534,18.9156984,"Barnens Ö Krog (Stängt sedan år 2022), Simpnäsvägen, Granö, Norrtälje kommun, Stockholms län, 760 40, Sverige",https://www.flashback.org/t347489,0.76
60b6b77fe1a6,Öster,55.5799944,13.0891093,"Öster, Oxie, Malmö kommun, Skåne län, Sverige",https://www.flashback.org/t3725204p2,0.52
a52eff1470d6,Berlin,59.3459014,17.6185586,"Berlin, Ekeby, Ekerö kommun, Stockholms län, 179 97, Sverige",https://www.flashback.org/t3725204p2,0.52
f0c36ac8e30d,Tysklands,59.334404,18.1063627,"Tysklands ambassad, Skarpögatan, Östermalm, Norra innerstadens stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 115 27, Sverige",https://www.flashback.org/t3725204p2,0.52
9fdfec513964,Kymlinge,59.3950069,17.9650157,"Kymlinge, Sundbybergs kommun, Stockholms län, Sverige",https://www.flashback.org/t3074043,0.84
2007cba71bca,Tunnelbanan,59.358026,18.0063923,"Nya Tunnelbanan, Skytteholm, Solna, Solna kommun, Stockholms län, Sverige",https://www.flashback.org/t2225405,0.56
c43dd871d07b,Kör,59.4277368,16.1016318,"Kungsör, Järnvägsgatan, Norra Kungsladugården, Kungsör, Kungsörs kommun, Västmanlands län, 736 32, Sverige",https://www.flashback.org/t2225405,0.56
c086ecacee37,Järva Krog,59.3792705,18.0090103,"Järva Krog, Järva, Solna, Solna kommun, Stockholms län, 170 66, Sverige",https://www.flashback.org/t2225405,0.64
0f9f3429aae1,Solnas,55.5266422,12.9704773,"Solnäs, Västra Klagstorp, Väster, Skumparp, Malmö kommun, Skåne län, 218 46, Sverige",https://www.flashback.org/t2225405,0.64
1d6f89b95459,Läst,59.2439023,18.2319772,"Lastplats, Bollmora, Tyresö kommun, Stockholms län, Sverige",https://www.flashback.org/t2225405,0.64
565e27ae0e93,Bygget,61.7822263,14.92916,"Bygget, Ljusdals kommun, Gävleborgs län, Sverige",https://www.flashback.org/t2225405,0.64
8a1da91da9a5,Roadrunner,59.3981529,13.4964716,"Roadrunner, Infanterigatan, Södra Råtorp, Sandbäcken, Karlstad, Karlstads kommun, Värmlands län, 653 48, Sverige",https://www.flashback.org/t2225405,0.64
3fbd75233ce0,City,59.270016,15.2153483,"City, Nygatan, Eklunda, Örebro, Örebro kommun, Örebro län, 702 12, Sverige",https://www.flashback.org/t2225405,0.64
92d930503ddc,Sjöfartsverket,58.5915746,16.1988155,"Sjöfartsverket, 7, Östra Promenaden, Sylten, Norrköping, Norrköpings kommun, Östergötlands län, 601 78, Sverige",https://www.flashback.org/t2225405,0.64
627cde291a73,Norrköping,58.5909124,16.1903511,"Norrköping, Norrköpings kommun, Östergötlands län, 602 27, Sverige",https://www.flashback.org/t2225405,0.64
eeab3b4b4009,Gävle,60.6750132,17.1467019,"Gävle, Gävle kommun, Gävleborgs län, Sverige",https://www.flashback.org/t2225405,0.64
206f960a629a,Rinkeby,59.3882541,17.9283805,"Rinkeby, Rinkebytorget, Rinkeby, Järva stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 163 73, Sverige",https://www.flashback.org/t2225405,0.64
db1f6bc0463b,Vilken,58.8411765,11.0305315,"Vilken, Strömstads kommun, Västra Götalands län, Sverige",https://www.flashback.org/t2225405,0.72
fe5f00c74339,Kista,59.4031236,17.9424221,"Kista, Danmarksgatan, Kista, Järva stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 164 53, Sverige",https://www.flashback.org/t3074043,0.84
9304eb67806d,Josephine,59.2932164,18.0598187,"Cafe Josephine Baker, 20, Kassörsgränd, Rösträknaren, Östberga, Årsta, Enskede-Årsta-Vantörs stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 120 47, Sverige",https://www.flashback.org/t2225405,0.72
f9d951399a01,Puss,60.3581099,15.1709068,"Saras puss, Borlänge kommun, Dalarnas län, Sverige",https://www.flashback.org/t2225405,0.64
c5e0999f6334,Din,57.0571869,12.2710848,"Din X Sjömack, Träslövsläge, Varbergs kommun, Hallands län, 432 75, Sverige",https://www.flashback.org/t2225405,0.64
00616fcaee63,Tar,59.8602852,17.629645,"Cafe Tar, Sysslomansgatan, Främre Luthagen, Fjärdingen, Uppsala, Uppsala kommun, Uppsala län, 753 11, Sverige",https://www.flashback.org/t2225405,0.72
eb9a43c51d8a,Tog,56.1069278,12.7565135,"Tögatan, Fleningetorp, Ödåkra, Helsingborgs kommun, Skåne län, 254 75, Sverige",https://www.flashback.org/t2225405,0.72
033a221f4cac,Karta,58.8907379,17.730025,"Karta, Nynäshamns kommun, Stockholms län, Sverige",https://www.flashback.org/t2225405,0.72
e6c4698b02d6,Tänk,63.8175302,20.2492504,"Tankvägen, Väst-Teg, Teg, Umeå, Umeå kommun, Västerbottens län, 904 32, Sverige",https://www.flashback.org/t2225405,0.72
